Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,Transaction Amount,Account Balance After Transaction,Branch ID,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,Credit Limit,Credit Card Balance,Minimum Payment Due,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date
1,Joshua,Hall,45,Male,Address_1,Fort Worth,19458794854,joshua.hall@kag.com,Current,1313.38,5/26/2006,4/23/2023,1,12/7/2023,Withdrawal,1457.61,2770.99,43,1,32200.06,Mortgage,2.64,36,5/11/2021,Rejected,1,AMEX,1737.88,4524.32,226.22,11/26/2023,3/20/2023,8142,1,10/6/2023,Suggestion,Resolved,1/22/2023
2,Mark,Taylor,47,Female,Address_2,Louisville,19458794855,mark.taylor@kag.com,Current,5988.46,3/2/2006,1/27/2023,2,4/27/2023,Deposit,1660.99,7649.45,63,2,47743.52,Auto,2.48,36,7/30/2020,Approved,2,MasterCard,1799.36,856.7,42.84,11/5/2023,6/16/2023,4306,2,4/7/2023,Complaint,Resolved,8/27/2023
3,Joseph,Flores,25,Female,Address_3,Philadelphia,19458794856,joseph.flores@kag.com,Current,8277.88,7/19/2015,1/1/2023,3,4/5/2023,Deposit,839.91,7437.97,82,3,47981.31,Auto,7.84,24,1/17/2021,Closed,3,AMEX,6112.96,3242.36,162.12,1/8/2023,3/20/2023,4842,3,9/7/2023,Praise,Pending,5/11/2023
4,Kevin,Lee,52,Other,Address_4,Oklahoma City,19458794857,kevin.lee@kag.com,Savings,7487.21,1/30/2008,8/2/2023,4,7/28/2023,Withdrawal,4908.89,12396.1,41,4,4482.8,Personal,7.21,48,2/15/2022,Approved,4,MasterCard,2069.41,4329.17,216.46,9/8/2023,10/15/2023,9463,4,5/28/2023,Complaint,Resolved,7/5/2023
5,Linda,Johnson,68,Other,Address_5,Phoenix,19458794858,linda.johnson@kag.com,Savings,6993.55,5/25/2021,3/27/2023,5,1/16/2023,Transfer,589.07,6404.48,9,5,1092.33,Mortgage,5.37,12,7/31/2020,Approved,5,Visa,2765.3,25.72,1.29,3/4/2023,7/27/2023,2209,5,2/12/2023,Complaint,Resolved,11/21/2023
6,Charles,Torres,52,Male,Address_6,El Paso,19458794859,charles.torres@kag.com,Savings,9295.64,12/21/2015,6/4/2023,6,4/21/2023,Withdrawal,4914.67,4380.97,20,6,48039.24,Mortgage,1.45,24,11/14/2020,Closed,6,AMEX,8029.18,1331.7,66.59,5/13/2023,11/16/2023,478,6,8/6/2023,Praise,Resolved,7/23/2023
7,Joshua,Garcia,43,Male,Address_7,Dallas,19458794860,joshua.garcia@kag.com,Current,4005.72,7/7/2022,3/21/2023,7,11/22/2023,Deposit,3534.9,470.82,21,7,27230.51,Mortgage,5.25,24,1/26/2020,Approved,7,MasterCard,2996.82,1441.65,72.08,3/16/2023,10/9/2023,5745,7,8/20/2023,Complaint,Pending,7/31/2023
8,Christopher,Baker,47,Male,Address_8,Memphis,19458794861,christopher.baker@kag.com,Savings,1458.45,12/14/2022,3/1/2023,8,8/10/2023,Deposit,454.87,1003.58,25,8,35319.63,Mortgage,8.51,12,10/21/2020,Approved,8,AMEX,4470.78,3450.21,172.51,7/23/2023,7/18/2023,5559,8,8/30/2023,Complaint,Pending,12/19/2023
9,Daniel,Moore,52,Male,Address_9,Indianapolis,19458794862,daniel.moore@kag.com,Current,1109.3,4/29/2012,11/5/2023,9,9/28/2023,Withdrawal,768.56,340.74,66,9,45717.26,Mortgage,1.1,60,12/17/2022,Rejected,9,AMEX,4349.57,3227.18,161.36,11/28/2023,9/25/2023,4432,9,2/10/2023,Suggestion,Pending,7/12/2023
10,William,Robinson,55,Other,Address_10,Washington,19458794863,william.robinson@kag.com,Current,9554.62,12/20/2021,2/5/2023,10,12/29/2023,Deposit,1641.59,11196.21,30,10,22224.58,Auto,1.92,24,9/11/2021,Closed,10,Visa,4961.44,2765.38,138.27,11/15/2023,1/7/2023,8226,10,10/20/2023,Complaint,Resolved,4/30/2023
11,William,Perez,28,Male,Address_11,San Diego,19458794864,william.perez@kag.com,Savings,5930.75,8/12/2015,10/18/2023,11,6/8/2023,Withdrawal,1309.13,7239.88,72,11,22592.01,Personal,8.28,60,11/20/2022,Rejected,11,Visa,4782.39,4564.25,228.21,6/7/2023,3/3/2023,4624,11,5/1/2023,Complaint,Pending,9/19/2023
12,Nancy,Allen,37,Female,Address_12,Oklahoma City,19458794865,nancy.allen@kag.com,Current,8126.85,9/13/2005,10/16/2023,12,4/4/2023,Deposit,4865.91,12992.76,25,12,9182.1,Auto,5.73,48,7/29/2020,Approved,12,AMEX,5697.31,4935.07,246.75,11/17/2023,12/28/2023,3488,12,8/24/2023,Complaint,Pending,5/3/2023
13,Margaret,Robinson,63,Female,Address_13,Columbus,19458794866,margaret.robinson@kag.com,Savings,5402.04,11/13/2010,11/21/2023,13,12/2/2023,Deposit,3070.58,8472.62,94,13,45385.59,Auto,6.96,36,9/20/2021,Approved,13,Visa,5776.68,339.59,16.98,7/17/2023,1/13/2023,2102,13,2/22/2023,Praise,Resolved,1/13/2023
14,Michelle,Taylor,48,Female,Address_14,Colorado Springs,19458794867,michelle.taylor@kag.com,Savings,4045.09,8/14/2014,12/29/2023,14,10/27/2023,Transfer,381.21,4426.3,30,14,32735.99,Auto,7.71,48,12/21/2022,Approved,14,Visa,3018.46,4357.95,217.9,5/28/2023,9/29/2023,4833,14,11/16/2023,Praise,Resolved,5/5/2023
15,Nancy,Nelson,51,Other,Address_15,Atlanta,19458794868,nancy.nelson@kag.com,Savings,2082.67,9/16/2015,6/24/2023,15,6/13/2023,Withdrawal,2631.77,-549.1,77,15,9833.19,Mortgage,3.7,36,12/6/2022,Closed,15,AMEX,2345.93,1066.61,53.33,12/28/2023,5/23/2023,4769,15,10/26/2023,Suggestion,Pending,9/23/2023
16,Michael,Young,29,Male,Address_16,Fresno,19458794869,michael.young@kag.com,Savings,8578.44,10/2/2016,12/20/2023,16,10/23/2023,Transfer,4486.73,13065.17,31,16,28429.81,Mortgage,3.68,24,12/11/2021,Approved,16,Visa,2673.1,770.74,38.54,2/2/2023,1/3/2023,7000,16,11/25/2023,Complaint,Pending,5/23/2023
17,Lisa,Adams,65,Female,Address_17,Austin,19458794870,lisa.adams@kag.com,Current,728.8,7/7/2006,12/18/2023,17,11/15/2023,Transfer,2086.75,2815.55,96,17,17080.03,Auto,3.38,36,12/15/2022,Rejected,17,AMEX,2838.82,3905.1,195.26,4/20/2023,10/19/2023,2437,17,5/31/2023,Suggestion,Pending,5/1/2023
18,Mary,Wilson,45,Female,Address_18,Omaha,19458794871,mary.wilson@kag.com,Savings,9012.31,8/12/2019,3/30/2023,18,9/12/2023,Deposit,3333.99,5678.32,36,18,8211.92,Auto,2.51,12,2/23/2022,Closed,18,MasterCard,8388.99,3165.21,158.26,8/10/2023,11/12/2023,5109,18,2/23/2023,Praise,Resolved,6/3/2023
19,Nancy,Martinez,20,Other,Address_19,Tucson,19458794872,nancy.martinez@kag.com,Current,2129.63,8/18/2005,2/28/2023,19,11/15/2023,Withdrawal,3868.23,-1738.6,41,19,9911.6,Personal,3.74,12,6/5/2022,Rejected,19,AMEX,9371.27,299.03,14.95,5/12/2023,9/10/2023,8681,19,7/19/2023,Praise,Resolved,3/7/2023
