CustomerID,First Name,Last Name,Age,Gender,Address,City,ContactNumber,Email,AccountType,AccountBalance,DateOfAccountOpening,LastTransactionDate,TransactionID,TransactionDate,TransactionType,TransactionAmount,AccountBalanceAfterTransaction,BranchID,LoanID,LoanAmount,LoanType,InterestRate,LoanTerm,Approval/Rejection Date,LoanStatus,Loan Payment History,CardID,CardType,CreditLimit,CreditCardBalance,MinimumPaymentDue,PaymentDueDate,LastCreditCardPaymentDate,CreditCardPaymentHistory,Rewards Points,FeedbackID,FeedbackDate,Feedback Type,FeedbackText,Resolution Status,ResolutionDate
1,Joshua,Hall,45,Male,Address_1,Fort Worth,1.23457E+12,joshua.hall@example.com,Current,1313.38,5/26/2006,4/23/2023,1,12/7/2023,Withdrawal,1457.61,2770.99,43,1,32200.06,Mortgage,2.64,36,5/11/2021,Rejected,PaymentHistory_1,1,AMEX,1737.88,4524.32,226.22,11/26/2023,3/20/2023,CreditPaymentHistory_1,8142,1,10/6/2023,Suggestion,FeedbackText_1,Resolved,1/22/2023
2,Mark,Taylor,47,Female,Address_2,Louisville,1.23457E+12,mark.taylor@example.com,Current,5988.46,3/2/2006,1/27/2023,2,4/27/2023,Deposit,1660.99,7649.45,63,2,47743.52,Auto,2.48,36,7/30/2020,Approved,PaymentHistory_2,2,MasterCard,1799.36,856.7,42.84,11/5/2023,6/16/2023,CreditPaymentHistory_2,4306,2,4/7/2023,Complaint,FeedbackText_2,Resolved,8/27/2023
3,Joseph,Flores,25,Female,Address_3,Philadelphia,1.23457E+12,joseph.flores@example.com,Current,8277.88,7/19/2015,1/1/2023,3,4/5/2023,Deposit,839.91,7437.97,82,3,47981.31,Auto,7.84,24,1/17/2021,Closed,PaymentHistory_3,3,AMEX,6112.96,3242.36,162.12,1/8/2023,3/20/2023,CreditPaymentHistory_3,4842,3,9/7/2023,Praise,FeedbackText_3,Pending,5/11/2023
4,Kevin,Lee,52,Other,Address_4,Oklahoma City,1.23457E+12,kevin.lee@example.com,Savings,7487.21,1/30/2008,8/2/2023,4,7/28/2023,Withdrawal,4908.89,12396.1,41,4,4482.8,Personal,7.21,48,2/15/2022,Approved,PaymentHistory_4,4,MasterCard,2069.41,4329.17,216.46,9/8/2023,10/15/2023,CreditPaymentHistory_4,9463,4,5/28/2023,Complaint,FeedbackText_4,Resolved,7/5/2023
5,Linda,Johnson,68,Other,Address_5,Phoenix,1.23457E+12,linda.johnson@example.com,Savings,6993.55,5/25/2021,3/27/2023,5,1/16/2023,Transfer,589.07,6404.48,9,5,1092.33,Mortgage,5.37,12,7/31/2020,Approved,PaymentHistory_5,5,Visa,2765.3,25.72,1.29,3/4/2023,7/27/2023,CreditPaymentHistory_5,2209,5,2/12/2023,Complaint,FeedbackText_5,Resolved,11/21/2023
6,Charles,Torres,52,Male,Address_6,El Paso,1.23457E+12,charles.torres@example.com,Savings,9295.64,12/21/2015,6/4/2023,6,4/21/2023,Withdrawal,4914.67,4380.97,20,6,48039.24,Mortgage,1.45,24,11/14/2020,Closed,PaymentHistory_6,6,AMEX,8029.18,1331.7,66.59,5/13/2023,11/16/2023,CreditPaymentHistory_6,478,6,8/6/2023,Praise,FeedbackText_6,Resolved,7/23/2023
7,Joshua,Garcia,43,Male,Address_7,Dallas,1.23457E+12,joshua.garcia@example.com,Current,4005.72,7/7/2022,3/21/2023,7,11/22/2023,Deposit,3534.9,470.82,21,7,27230.51,Mortgage,5.25,24,1/26/2020,Approved,PaymentHistory_7,7,MasterCard,2996.82,1441.65,72.08,3/16/2023,10/9/2023,CreditPaymentHistory_7,5745,7,8/20/2023,Complaint,FeedbackText_7,Pending,7/31/2023
8,Christopher,Baker,47,Male,Address_8,Memphis,1.23457E+12,christopher.baker@example.com,Savings,1458.45,12/14/2022,3/1/2023,8,8/10/2023,Deposit,454.87,1003.58,25,8,35319.63,Mortgage,8.51,12,10/21/2020,Approved,PaymentHistory_8,8,AMEX,4470.78,3450.21,172.51,7/23/2023,7/18/2023,CreditPaymentHistory_8,5559,8,8/30/2023,Complaint,FeedbackText_8,Pending,12/19/2023
9,Daniel,Moore,52,Male,Address_9,Indianapolis,1.23457E+12,daniel.moore@example.com,Current,1109.3,4/29/2012,11/5/2023,9,9/28/2023,Withdrawal,768.56,340.74,66,9,45717.26,Mortgage,1.1,60,12/17/2022,Rejected,PaymentHistory_9,9,AMEX,4349.57,3227.18,161.36,11/28/2023,9/25/2023,CreditPaymentHistory_9,4432,9,2/10/2023,Suggestion,FeedbackText_9,Pending,7/12/2023
10,William,Robinson,55,Other,Address_10,Washington,1.23457E+12,william.robinson@example.com,Current,9554.62,12/20/2021,2/5/2023,10,12/29/2023,Deposit,1641.59,11196.21,30,10,22224.58,Auto,1.92,24,9/11/2021,Closed,PaymentHistory_10,10,Visa,4961.44,2765.38,138.27,11/15/2023,1/7/2023,CreditPaymentHistory_10,8226,10,10/20/2023,Complaint,FeedbackText_10,Resolved,4/30/2023
